State	Grant Number	Fiscal Year	Element Name	Grant Status	Obligation Amount	Grant Type	Sponsor Name	Project Description	Park Name	Park County	Park CD.	Park Total Acres
AL	960	2012	LITTLE SHADES CREEK BRIDGE I	A	50,000.00	D	CITY OF VESTAVIA HILLS	The city of Vestavia Hills, Jefferson County, Alabama, will utilize a Land Water Conservation Fund grant to assist in the construction of a trail bridge to span Little Shades Creek at McCallum Park. The grant scope includes the construction of an 8-foot wide, 80-foot long bridgeacross Little Shades Creek within the 17.33 acre McCallum Park.	McCALLUM PARK	JEFFERSON	6	17.3
AL	976	2012	HAYDEN COMMUNITY PARK DEVELOPMENT	A	50,000.00	D	TOWN OF HAYDEN	This grant will fund a new park (16.0± acres) in the Town of Hayden. Development will include expanding the artesian spring pond for fishing, developing a trail around the property, installing a playground, splash pad, basketball court and related support facilities.	HAYDEN COMMUNITY PARK	BLOUNT	6	16
AL	969	2012	TAYLOR WALKING TRAIL PARK IMPROVEMENTS	A	50,000.00	D	CITY OF TAYLOR	Grant will fund the further development of the existing 14.517+/- acres Taylor Walking Trail Park by constructing accessible restroom facilities and a splash pad, a musch safer alternative that a pool. Visitors of all ages and abilities will benefit from this development.	TAYLOR WALKING TRAIL PARK	HOUSTON	2	14.5
AL	961	2012	GLENCOE SPLASH PAD DEVELOPMENT	A	50,000.00	D	CITY OF GLENCOE	The city of Glencoe, Etowah County, Alabama, will utilize a Land and Water conservation Fund grant to assist in the development of a new splash pad and the renovation of restroom facilities at Wilson Park (commonly known as Glencoe City Park). the grant scope includes the construction of a new splash pad water feature at the 11.0 acre Wilson Park and upgrading the restroom facilities.	WILSON (GLENCOE CITY) PARK	ETOWAH	4	11
AL	978	2012	CULPEPPER PARK PLAYGROUND DEVELOPMENT-PHASE II	A	50,000.00	D	CITY OF DALEVILLE	This grant will fund the further development of an existing 8.6± acres park, R.A. Culpepper Park. It will include the development of a tot lot that will contain new playground equipment for children under five years of age. This will complement the recently installed playground equipment for children ages five to twelve and will provide additional passive, family-oriented recreation.	R.A. CULPEPPER PARK	DALE	2	8.2
AL	981	2012	PASSIVE PARK FOR PEOPLE WITH DOGS	A	50,000.00	D	CITY OF DOTHAN	This grant will fund a passive, dog park at an existing 6.68± acres park, Eastgate Park in Dothan, Alabama. This will be the only public facility in the City where dog owners will be able to enjoy play and interaction with their dogs off the leash. At least 3.67± acres will be fenced in and divided into two areas serving people with small dogs and people with large dogs separately.	EASTGATE PARK	HOUSTON	2	6.7
AL	967	2012	PHIL CAMPBELL SPLASH PAD PROJECT	A	149,100.00	D	TOWN OF PHIL CAMPBELL	This grant will be used toward the rehabilitation of Phil Campbell Park (5.5+/- acres) after being devastated in 2011 by a tornado. Rather that repair the existing pool, a modern splashpad facility will be constructed over the existing pool. In addition, the bathhouse (restrooms and locker rooms) will be rehabilitated. These developments will increase the usage of the park that has a population total of 24,556 within its service area.	PHIL CAMPBELL SWIMMING POOL PARK	FRANKLIN	4	5.5
AL	974	2012	AUTAUGA CREEK PARK DEVELOPMENT	A	45,000.00	D	CITY OF PRATTVILLE	This grant will fund a new park (3.59+/-) in the City of Prqattville. The City's goal is to develop a passive family-oriented park that will include a walking trail, playground, two sandbars/beaches for canoes, kayaks and tubing, a scenic overlook with picnic tables, urban green space, and related support facilities.	AUTAUGA CREEK PARK	AUTAUGA	2	3.6
AL	975	2012	FOUNDER'S PARK AMPHITHEATER STAGE DEVELOPMENT	A	50,000.00	D	CITY OF DECATUR	This grant will fund the construction of an amphitheater stage in an existing 2.33 acres park, Founder's Park. The amphitheater will give the park a dedicated use and unique function from other city park facilities. It is envisioned as a place music, laughter, drama, learning, relaxatio, cultural exploration, and inspiration.	FOUNDERS PARK	MORGAN	5	2.3
AL	966	2012	NORTH COURTLAND COMMUNITY PARK DEVELOPMENT	A	25,000.00	D	TOWN OF NORTH COURTLAND	This grant will fund a new 1 ac park in the Town of North Courtland. This will be Town's first park and will provide all new outdoor recreational activities for its residents. Facilities to be developed included a playground, and pavilion, and related support facilities. The benefits of developing this park are that children will have a community place for recreation and stay off the streets and the elderly at the nearby senior center will be able to enjoy the more passive amenities of the park.	COURTLAND COMMUNITY PARK	LAWRENCE	7	1
AL	973	2012	ASHFORD RECREATION PARK DEVELOPMENT	A	15,000.00	D	CITY OF ASHFORD	This grant will enhance the existing 9.92+/- acres recreation facilities, Ashford Recreation Park, by adding a new playground area that will include modern playground equipment, benches and a pavilion with picnic tables.	ASHFORD RECREATION PARK	HOUSTON	2	1
AL	968	2012	PALISADES PARK AMPHITHEATER RENOVATION	C	20,000.00	R	BLOUNT COUNTY COMMISSION	This grant will be used to renovate an existing 80 person amphitheater at Palisades Park. This project will help on the demand for providing outdoor activities by making the amphitheater more safe for use.	PALISADES PARK	BLOUNT	6	85.5
AL	959	2012	FAIRHOPE MUNICIPAL PARK UPGRADES	A	50,000.00	R	CITY OF FAIRHOPE	This grant will be used to upgrade an existing 62+/- acres park, Fairhope Municipal Park(aka Volanta Park) which is the largest green space designated for recreation in the city of Fairhope. The goals of the upgrades are to address safety issues; improve handicap accessibility; enhance the existing playground, ballfields & picnic area; and upgrade existing infrastructure including fencing.	FAIRHOPE MUNICIPAL PARK	BALDWIN	1	61
AL	962	2012	IDER TOWN PARK PLAYGROUND IMPROVEMENTS	A	8,530.00	R	TOWN OF IDER	This grant will assist in replacing and upgrading the existing playground within the 11.7 acre Ider Town Park. The original playground was mostly destroyed by a tornado in 2010. This community is reasonably isolated in the county and has no other convenient park or recreational opportunities for its residents. The new playground will meet the needs of all children with its enhanced handicapped accessibility features.	IDER TOWN PARK	DE KALB	4	11.7
AL	955	2012	LOCUST FORK TOWN PARK IMPROVEMENTS	A	9,112.83	R	TOWN OF LOCUST PARK	Grant will fund the further development of the existing 10.8+/- acres Locust Fork Park by constructing batting cages and adapting the adult ball fields for youth league play in order to encourage more children to participate in outdoor sports and promote a healthier lifestyle. Also, a multipurpose pavilion will be developed and the concession stand will be equipped.	LOCUST FORK PARK	BLOUNT	6	10.8
AL	964	2012	BRINDLEY MOUNTAIN PARK IMPROVEMENTS	A	50,000.00	R	MORGAN COUNTY COMMISSION	Morgan County will construct a multipurpose ball field within the 5-acre Brindley Mountain Park. The grant scope includes constructing a 275' field with lighting, fencing and a new dugout. The field will be used primarilty for baseball and softball activities but some soccer games and youth football practices will be played there as well. The construction site was selected primarily to centralize it within the park and to maximize the new lighting for the benefit of the entire park. It will also make access to the restroom and concession areas more convenient.	BRINDLEY MOUNTAIN PARK	MORGAN	4	5
AR	804	2012	FOUSHEE CAVE NATURAL AREA	C	242,582.00	A	AR NATURAL HERITAGE COMM.	The Arkansas Natural Heritage Commission will acquire 410 acres in Independence County as part of the newly created 1,677-acre Foushee Cave Natural Area. This site is Arkansas’ 70th natural area and protects one of the State’s most biologically significant caves. The conservation vision for this natural area is to protect and maintain Foushee Cave, its direct recharge zone, and the associated forest communities that represent the White River Hills region of the Ozark Mountains. The cave supports 10 rare species, including the federally endangered gray bat and Indiana bat, as well as the Foushee Cave snail, which only occurs in this cave system. The grant was matched by an Arkansas Natural and Cultural Resources Council grant, State General Improvement Funds, and proceeds from natural gas leases. The public will have access to the site for hiking, wildlife observation, photography, and environmental awareness.	FOUSHEE CAVE NATRUAL AREA	INDEPENDENCE	1	410
AR	813	2012	DEVIL'S EYEBROW NATURAL AREA	C	230,115.00	A	DEPT. OF ARKANSAS HERITAGE	Acquire 200 acres of ecologically sensitive land for the creation of the Devil’s Eyebrow Natural Area. The property is located in Benton County near Garfield.	DEVIL'S EYEBROW NATURAL AREA	BENTON	3	200
AR	811	2012	MONTICELLO MULTI-PARK DEVELOPMENT	C	128,442.00	D	CITY OF MONTICELLO	Develop McCloy, Jordan, and Burlington Parks plus the Monticello Sports Complex. The grant scope at McCloy Park is the installation of a playground, bleacher covers, and batting cages. For Jordan Park the scope includes the installation of a playground, bleacher covers, and batting cages. Burlington Park will get a new playground and bleacher covers. The Sports Complex will get a new playground, batting cages, and softball field lighting.	MONTICELLO SPORTS COMPLEX	Drew	4	68
AR	815	2012	PINE BLUFF PARK IMPROVEMENTS	A	258,959.00	D	CITY OF PINE BLUFF	Pine Bluff (Jefferson County) will improve Lake Saracen and Townsend Parks. The grant scope for Lake Saracen Park entails constructing a splash pad, restrooms, and accessible sidewalks and installing playground equipment complete with a safety impact surface. The grant scope for Townsend Park entails replacing the ball field lighting and playground equipment and adding a safety impact surface to the playground.	TOWNSEND PARK	JEFFERSON	4	29.7
AR	811	2012	MONTICELLO MULTI-PARK DEVELOPMENT	C	128,442.00	D	CITY OF MONTICELLO	Develop McCloy, Jordan, and Burlington Parks plus the Monticello Sports Complex. The grant scope at McCloy Park is the installation of a playground, bleacher covers, and batting cages. For Jordan Park the scope includes the installation of a playground, bleacher covers, and batting cages. Burlington Park will get a new playground and bleacher covers. The Sports Complex will get a new playground, batting cages, and softball field lighting.	JORDAN PARK	DREW	4	18.1
AR	811	2012	MONTICELLO MULTI-PARK DEVELOPMENT	C	128,442.00	D	CITY OF MONTICELLO	Develop McCloy, Jordan, and Burlington Parks plus the Monticello Sports Complex. The grant scope at McCloy Park is the installation of a playground, bleacher covers, and batting cages. For Jordan Park the scope includes the installation of a playground, bleacher covers, and batting cages. Burlington Park will get a new playground and bleacher covers. The Sports Complex will get a new playground, batting cages, and softball field lighting.	BURLINGTON PARK	DREW	4	9
AR	811	2012	MONTICELLO MULTI-PARK DEVELOPMENT	C	128,442.00	D	CITY OF MONTICELLO	Develop McCloy, Jordan, and Burlington Parks plus the Monticello Sports Complex. The grant scope at McCloy Park is the installation of a playground, bleacher covers, and batting cages. For Jordan Park the scope includes the installation of a playground, bleacher covers, and batting cages. Burlington Park will get a new playground and bleacher covers. The Sports Complex will get a new playground, batting cages, and softball field lighting.	MCCLOY PARK	DREW	4	5.9
AR	807	2012	OSCEOLA SPLASH PAD	A	115,000.00	D	CITY OF OSCEOLA	The city of Osceola (Mississippi County) will develop the 2.45-acre East Side Park. The grant scope includes the construction of an accessible splash pad as a replacement for the existing city swimming pool. The new water feature will include interactive fountains, sprays, and jets.	EAST SIDE PARK	MISSISSIPPI	1	2.5
AR	810	2012	IVRA CLARK PARK TRAIL	C	41,069.50	D	CITY OF CAMDEN	Improve the 2.32-acre Clark Park by constructing a ¼ mile exercise trail and a new parking lot.	IVRA CLARK PARK	OUACHITA	4	2.3
AR	815	2012	PINE BLUFF PARK IMPROVEMENTS	A	258,959.00	D	CITY OF PINE BLUFF	Pine Bluff (Jefferson County) will improve Lake Saracen and Townsend Parks. The grant scope for Lake Saracen Park entails constructing a splash pad, restrooms, and accessible sidewalks and installing playground equipment complete with a safety impact surface. The grant scope for Townsend Park entails replacing the ball field lighting and playground equipment and adding a safety impact surface to the playground.	LAKE SARACEN PARK	JEFFERSON	4	2.3
AR	805	2012	QUITMAN CITY PARK IMPROVEMENTS	A	74,750.00	D	CITY OF QUITMAN	Quitman will improve the 0.21-acre Quitman City Park by constructing a 14-table pavilion, an accessible parking lot, and an accessible pathway to the new pavilion. Quitman is a community of approximately 714 persons near the Little Rock/North Little Rock/Conway Metropolitan Statistical Area.	QUITMAN CITY PARK	Cleburne	1	0.2
AR	809	2012	SEARCY SPORTS COMPLEX IMPROVEMENTS	C	74,232.00	R	CITY OF SEARCY	Renovate the 49-acre Searcy Sports Complex. The grant scope includes the replacement of the original lighting system, which services 10 baseball fields, 10 softball fields, 18 soccer fields, one 18-hole disc golf course, 1 Pee Wee football field, 6 basketball courts, 1 skate park, and 1 events center plus the restrooms, concession, and storage facilities.	SEARCY SPORTS COMPLEX	WHITE	2	49
AR	814	2012	NEWPORT POOL HOUSE RENOVATION	C	23,000.00	R	CITY OF NEWPORT	Newport will renovate the pool house within the 29.48-acre George Kell Park.	GEORGE KELL PARK	JACKSON	1	29.5
AZ	740	2012	LAKE HAVASU STATE PARK BOAT RAMP AT WINDSOR BEACH	A	1,473,478.00	D	ARIZONA STATE PARKS	Arizona State Parks will further develop Lake Havasu State Park by constructing a new boat launch ramp, parking areas, a boat wash area, and restroom facilities at Windsor Beach-Unit 4 in the southern end of the park.	LAKE HAVASU STATE PARK	Mohave	2	6,500.00
CA	1,714	2012	THE TRACKS AT BREA ACQUISITION	C	200,000.00	A	CITY OF BREA	Acquire approximately 3.6 acres of land for the Tracks at Brea. This will eventually be part of a 3.8 mile hike and bike trail that uses an abandoned railroad bed.	THE TRACKS AT BREA	Orange	0	16.6
CA	1,718	2012	EL CORTE DE MADERA CREEK TRAIL PROJECT	A	72,471.00	D	MIDPENINSULA REGIONAL OPEN SPACE DISTRICT	Construct approximately 1 mile of trail, signage, and support facilities at El Corte de Madera Open Space Preserve.	EL CORTE DE MADERA OPEN SPACE PRESERVE	SAN MATEO	14	2,685.00
CA	1,730	2012	SYCAMORE VALLEY SHADY SLOPE TRAIL BRIDGE	A	147,119.00	D	EAST BAY REGIONAL PARK DISTRICT	Construct approximately 45 foot long bridge on the Shady Slope Trail over an exisiting steep-sided drainage.	SYCAMORE VALLEY REGIONAL OPEN SPACE PRESERVE	CONTRA COSTA	11	359
CA	1,734	2012	GRAND VIEW TRAIL LINK	A	95,881.00	D	CITY OF DIAMOND BAR	Develop approximately 2,488 feet existing hard pan Grand View Trail Link at Summitridge Park by constructing a foot bridge, landscape tie steps with lodge pole fencing in one area to mitigate slope, and install benches and signage.	SUMMITRIDGE PARK	LOS ANGELES	42	285
CA	1,738	2012	SANTEE LAKES CAMPGROUND PLAYGROUND PROJECT	A	64,006.00	D	PADRE DAM MUNICIPAL WATER DISTRICT	Construct a playground expansion of approximately 2,075 square feet with additional playground structures.	SANTEE LAKES RECREATION PRESERVE	SAN DIEGO	52	194
CA	1,713	2012	CRYSTAL SPRINGS REGIONAL TRAIL SOUTH OF THE DAM	A	279,218.00	D	SAN MATEO COUNTY	Develop Crystal Springs Regional Trail by constructing approximately 4,480 linear feet of paved Class 1 trail, pre-fabricated restroom, and support facilities. This trail will add a segment to the California Riding and Hiking Trail, as well as the Juan Bautista de Anza National Historic Trail.	CRYSTAL SPRINGS REGIONAL TRAIL	San Mateo	12	72.1
CA	1,723	2012	LIVE OAK PARK AMPHITHEATER	A	214,000.00	D	SAN DIEGO COUNTY	Construct an outdoor classroom, an approximate 1,035 LF pedestrian/bicycle path and support facilities.	LIVE OAK PARK	SAN DIEGO	49	25.7
CA	1,741	2012	OUTDOOR NATURE INTERPRETIVE CENTER AREA HIKING TRA	A	124,904.00	D	PLEASANT VALLEY RECREATION AND PARK DISTRICT	Construct an outdoor nature interpretive center with education pavilion platform, an approximately 300 yard long connector trail, and support facilities.	CAMARILLO GROVE PARK	VENTURA	24	24.6
CA	1,735	2012	JOHNNY CARSON PARK TRAIL AND NATURE EDUCATION PROJ	A	283,630.00	D	CITY OF BURBANK	Construct approximately 0.5 mile long decomposed granite loop trail, secondary trails, improve the existing trail bridge and install educational signage.	JOHNNY CARSON PARK	LOS ANGELES	29	8.8
CA	1,733	2012	BARKER PARK WALKING PATH	A	65,359.00	D	CITY OF WASCO	Construct approximately 1,166 linear foot long walking/jogging path.	BARKER PARK	KERN	20	7.1
CA	1,740	2012	SHADE STRUCTURE AT PAMELA MONTEROSSO TRAILHEAD	A	29,692.00	D	CITY OF MODESTO	Construct a shade structure on concrete pad with benches.	PAMELA MONTEROSSO PARK	STANISLAUS	18	5.5
CA	1,732	2012	PIERSON PARK COVERED PICNIC AREA DEVELOPMENT	A	26,750.00	D	MCKINLEYVILLE COMMUNITY SERVICES DISTRICT	Construct a covered group picnic area.	PIERSON PARK	HUMBOLDT	1	4.3
CA	1,731	2012	SANGER COMMUNITY CENTER PARK DEVELOPMENT	A	51,895.00	D	CITY OF SANGER	Construct a 1200 linear foot walking path with life course, picnic areas with lighting, and landscaping of the newly constructed skate park area.	SANGER COMMUNITY CENTER PARK	FRESNO	20	4.2
CA	1,721	2012	BRENTWOOD PARK DEVELOPMENT	A	294,250.00	D	CITY OF COSTA MESA	Construct approximately 0.25 mile decomposed granite loop trail, a picnic area, outdoor fitness stations, approximate 5,000 SF concrete work, electrical and lighting, landscaping and support facilities.	BRENTWOOD PARK	ORANGE	46	2.6
CA	1,717	2012	ALEX ROAD SKATEPARK	C	428,000.00	D	CITY OF OCEANSIDE	This project will build a skatepark in a location that provides good access to an existing hike and bike trail. It will meet an increasing demand for skateboard facilities in a way that provides a safer, more protected venue than skateboarders otherwise would find on their own. Elements will include three below-grade bowls, a street course, and a snake run with skateable transitions between each element.	ALEX ROAD SKATEPARK	SAN DIEGO	49	0.8
CA	1,726	2012	MCGRATH STATE BEACH SEWER SYSTEM PROJECT	C	250,000.00	R	CA DEPARTMENT OF PARKS AND RECREATION	Remove and replace an exisiting sewer system in a very popular beach park. Replacement of this system will keep the park from being closed to the public.	MCGRATH STATE BEACH	VENTURA	23	312
CA	1,716	2012	SUMMITRIDGE PARK SOUTHERN TRAIL VISTA	A	121,220.00	R	CITY OF DIAMOND BAR	Construct approximately 1,216 ft of decomposed granite trail, fencing, benches, shade structure with trash receptacles and signage.This project will provide high quality trail access in a natural setting for people in a large urban area. Currently, the hard-pan trail is hard to access and hard to use due to its poor condition.	SUMMITRIDGE PARK	LOS ANGELES	42	285
CO	1,119	2012	29TH TO 32ND STREET ANIMAS RIVER TRAIL	A	211,703.00	D	CITY OF DURANGO	The city of Durango will construct an extension of the Animas River Trail from its current 29th Street trailhead to 32nd Street plus way-finding and interpretive signage. The trail will span the entire length of Memorial Park a distance of 2,050 linear feet with a 10-foot wide concrete trail, trail base, and accessible ramps.	ANIMAS RIVER TRAIL	LA PLATA	3	35.4
CO	1,119	2012	29TH TO 32ND STREET ANIMAS RIVER TRAIL	A	211,703.00	D	CITY OF DURANGO	The city of Durango will construct an extension of the Animas River Trail from its current 29th Street trailhead to 32nd Street plus way-finding and interpretive signage. The trail will span the entire length of Memorial Park a distance of 2,050 linear feet with a 10-foot wide concrete trail, trail base, and accessible ramps.	MEMORIAL PARK	LA PLATA	3	15.4
CO	1,121	2012	FOSSIL CREEK TRAIL AT EAST TRILBY ROAD	A	258,320.00	D	CITY OF FORT COLLINS	Fort Collins (Larimer County) will construct 1.68 miles of new concrete pathway along the Fossil Creek Trail. This project is a component of a long-term venture that will eventually stretch 27 miles from Fort Collins to Loveland.	FOSSIL CREEK TRAIL	LARIMER	4	1.7
CT	464	2012	Facility Upgrades at Four State Recreation Sites	A	1,200,000.00	R	State of CT - Department of Energy & Environment	Upgrades to (4) state recreation sites. Salt Rock State Campgrounds, Hopeville Pond State Park, Chatfield Hollow State Park and Dinosaur Park. Construction for all of four state parks are inlcuded.	HOPEVILLE POND STATE PARK	NEW LONDON	2	554
CT	464	2012	Facility Upgrades at Four State Recreation Sites	A	1,200,000.00	R	State of CT - Department of Energy & Environment	Upgrades to (4) state recreation sites. Salt Rock State Campgrounds, Hopeville Pond State Park, Chatfield Hollow State Park and Dinosaur Park. Construction for all of four state parks are inlcuded.	Chatfield Hollow State Park	MIDDLESEX	2	355.6
CT	464	2012	Facility Upgrades at Four State Recreation Sites	A	1,200,000.00	R	State of CT - Department of Energy & Environment	Upgrades to (4) state recreation sites. Salt Rock State Campgrounds, Hopeville Pond State Park, Chatfield Hollow State Park and Dinosaur Park. Construction for all of four state parks are inlcuded.	Salt Rock State Campground	NEW LONDON	2	92.6
CT	464	2012	Facility Upgrades at Four State Recreation Sites	A	1,200,000.00	R	State of CT - Department of Energy & Environment	Upgrades to (4) state recreation sites. Salt Rock State Campgrounds, Hopeville Pond State Park, Chatfield Hollow State Park and Dinosaur Park. Construction for all of four state parks are inlcuded.	DINOSAUR STATE PARK	HARTFORD	1	70
DC	102	2012	Randall Recreation Center Improvement	A	85,140.00	R	DC - Department of Parks & Recreation	Renovation of Randall Plaza to create a more inviting and active space. Improvements will include new landscaping, new hard-scaping, skating area and signage.	Randall Recreation Center	DISTRICT OF COLUMBIA	0	0.3
DE	190	2012	Brandywine Creek State Park - Rocky Run Acq.	A	100,000.00	A	Delaware State Parks	The Division has purchased a 13.77 acre property from Woodlawn Trustees, Inc. The property is an inholding at Brandywine Creek State Park and will be maintained in its natural state. The property will become part of Brandywine Creek State Park. The waiver was granted by NPS on December 22, 2011.	BRANDYWINE CREEK STATE PARK	NEW CASTLE	0	725.5
DE	192	2012	Auburn Heights Preserve - Acquisition	A	50,000.00	A	Delaware State Parks	The division will purchase 2 parcel additions for the Auburn Heights Preserve. These parcels lie between the Yorklyn Conservation Easement property and the Oversee Farm property. The 2 parcels to be acquired are currently owned by the Delaware Nature Society and located along the west side of Creek Road (Route 82) along Red Clay Creek.	Auburn Heights Preserve	NEW CASTLE	0	12.8
DE	191	2012	Cape Henlopen State Park - Primitive Cabins	A	300,000.00	D	DNREC - Div of Parks and Recreation	Cape Henlopen State Park will install six primitive cabins will be constructed on concrete slab foundations with wood framed walls and roofs. The cabins will be full accessible with a crushed stone topped pathway to the parking area. Electricity will supply power for lighting, celing fans heat pump and outlets. There will be no running water, bathroom, kitchen facilities in the cabin interior.	Cape Henlopen State Park - Primitive Cabins	SUSSEX	0	3,177.00
FL	591	2012	FCT-II PARK	C	200,000.00	A	CITY OF FELLSMERE	Grant funds will be used to assist the City of Fellsmere to acquire 41.54+/- acres of land to develop as a new park. Future development will include a hiking trail, picnic facility, nature/observation boardwalk, and other related support facilities.	FCT-II PARK	INDIAN RIVER	15	41.5
FL	600	2012	WATERFRONT PARK	C	200,000.00	A	CITY OF SEMINOLE	This grant will assist the city of Seminole (Pinellas County) in acquiring 6.0 acres of land to create a new park, Waterfront Park. Furture improvements proposed for the park include a picnic pavilion, a playground, a kayak launch, and support facilities. Waterfront Park will provide recreation and public water access to Pinellas Bay.	WATERFRONT PARK	PINELLAS	10	6
FL	608	2012	PINE GLADES NATURAL AREA TRAIL	C	200,000.00	D	PALM BEACH COUNTY	This grant will assist Palm Beach County with improving the Pine Glades Natural Area. The grant scope includes constructing 2.9 miles of new trail; renovating 4.4 miles of existing trail; renovating and expanding an existing parking; constructing an accessible fishing platform, an accessible wildlife observation platform, an accessible covered picnic facility and three educational kiosks; relocating a canoe/kayak launch; and adding general landscaping. The project is located within the 6,646-acre of Pine Glades Natural Area	PINE GLADES NATURAL AREA	Brevard	15	6,416.00
FL	593	2012	MOBBLY BAYOU WILDERNESS PRESERVE	A	150,000.00	D	CITY OF OLDSMAR	Grant will fund the further development of the existing 225.0+/- acres Mobbly Bayou Wilderness Preserve that will help in the continuous goal of the City of Oldsmar to provide water-based recreation, especially saltwater beach access to the community, surrounding areas and visitors to Florida. Proposed development includes an environmental outdoor education/picnic shelter/concession area, a multi-trail connection with signage; and renovation of the observation towers, existing trail and fishing pier and other related support facilities	MOBBLY BAYOU WILDERNESS PRESERVE	PINELLAS	9	225
FL	609	2012	BAREFOOT BAY COMMUNITY PARK ENHANCEMENTS	A	200,000.00	D	BAREFOOT BAY RECREATION DISTRICT	This grant will assist in improving the 40 acre Community Center Park. The grant scope includes enhancing the playground, tennis court, and a basketball court plus constructing a fishing pier, a nature observation deck, multi-purpose trail, parking and general landscaping	COMMUNITY CENTER PARK	BREVARD	15	40
FL	607	2012	ACREAGE COMMUNITY PARK PH 1	A	200,000.00	D	INDIN TRAIL IMPROVEMENT DISTRICT	This grant will assist the Indian Trail Improvement District with improving Acreage Community Park by developing an outdoor basketball court, a fishing pier, and a picnic area. Other considerations include the renovation of a multi-purpose trail, general landscaping, and the addition of security lights. The park is located within West Palm Beach.	ACREAGE COMMUNITY PARK PH 1	PALM BEACH	22	28
FL	595	2012	MAINLANDS PARK	A	200,000.00	D	CITY OF TAMARAC	This grant funds will be used to develop a new park on donated land (23+/- acres) in the City of Tamarac. Atrail will loop around the parcel, tying the community together and connects a boardwalk/water observation platform providing access to wate for viewing before and after exercise. Other recreational opportunities planned for the park include a senior playground with equipment designed with seriors in mind for exercising and stretching. In addtion, picnic facilites and landscaping are planned for residents to enjoy.	MAINLAND PARK	BROWARD	20	23
FL	602	2012	SIMS PARK	A	200,000.00	D	CITY OF NRE PORT RICHEY	This grant will assist New Port Richey with improving Sims Park. The grant scope includes the construction of a picnic area, trails, a nature observation platform; renovation of boating facilities, an amphitheater, playground and restrooms.	SIMS PARK	PASCO	9	20
FL	604	2012	ANCHORAGE PARK	A	83,180.00	D	VILLAGE OF NORTH PALM BEACH	This grant will assist the Village of North Beach with renovating 20+/- acres Anchorage Park. The grant scope includes a multi-use trail, picnic, multiple kayak launches, a nature observation deck, general landscaping, and lighting	ANCHORAGE PARK	PALM BEACH	22	20
FL	597	2012	LAKE MAGGIORE PARK IMPROVEMENTS	A	193,000.00	D	CITY OF ST. PETERSBURG	this grant will assist with improvements to an existing 15+/- acre city park. Public benefits include enhancing recreational uses in harmony with the natural environment. Visitors can participate ina wider range of wholesome outdoor recreation activities, including nature study, bird watching, nature photograpy and environmental education. Development includes picnic facilities, a boardwalk, replacing the boat ramp, and building a restroom facility.	LAKE MAGGIORE PARK IMPROVEMENTS	PINELLAS	10	15
FL	590	2012	SEVILLA ESTATES PARK	A	100,000.00	D	TOWN OF MIAMI LAKES	The funds for this grant will be used to develop a new park(.71 acre) in the Town of Miami Lakes that will provide access to the waterfront, inclusive of a fishing area, allowing both community members and visitors various opportunities to enjoy a valuable natural resource. Other facilities to be deceloped are a playground, tennis/multi-purpose court, and picnic area.	NW 170TH STREET GREENWAY	MIAMI-DADE	17	12
FL	606	2012	WILLOWS PARK	A	200,000.00	D	VILLAGE OF ROYAL PALM BEACH	This grant will assist the Village of Royal Palm Beach with improving the 10-acre Willows Park by constructing a fishing pier, a hiking trail and a fitness trail; adding picnic facilities; and renovating a baseball field and tennis courts; plus general landscaping	WILLOWS PARK	PALM BEACH	16	10
FL	598	2012	REITER PARK	C	100,000.00	D	CITY OF LONGWOOD	Grant will fund the further development of an existing city park 6.86+/- that is enriched by a mix of residential , municipal and commercial development. The proposed project will enhance the visitor experience by providing additional amenities such as a picnic facility, playground, new landscaping, and fishing pier. It will also renovate the multi-use trail, tennis court and basketball court.	REITER PARK	SEMINOLE	7	6.9
FL	605	2012	BICENTENNIAL PARK-CITY OF RIVIERA BEACH	A	200,000.00	D	CITY OF RIVIERA BEACH	This grant will assist the City of Riviera Beach revitalize Bicentennial Park. The grant scope includes the construction of a playground ans splash pad play area, ball fields, trails, picnic areas, a canoe launch, additional bench access and a nature observation deck plus general landscaping and lighting,	BICENTENNIAL PARK	Palm Beach	22	5.7
FL	599	2012	INTRACOASTAL PARK	A	200,000.00	D	CITY OF SUNNY ISLES BEACH	This grant will assist the City of Sunny Isles Beach in developing a new park 5.0+/- acres that will provide a linear connection to the City's Intracoastal Corridor. Development will include picnic facilities multi-use trail, waterfront viewing area, observation deck, open space area, landscaping and security lighting.	INTRACOSTAL PARK	MIAMI-DADE	20	5
FL	596	2012	SANFORD MARINA DAY BOAT SLIPS	C	200,000.00	D	CITY OF SANFORD	Grants will fund the further development of an existing 1.5+/- acres city park (Veteran's Memorial Park) that was first opened in 1924 on the city's waterfront along Lake Monroe. The proposed project will enhance the visitor experience by providing additional amenities such as picnic facilities, fishing facilities and day slips for boat landing. This will allow and encourage people boating on the lake and river to visit the park.	VETERAN'S MEMORIAL PARK	SEMINOLE	3	1.5
FL	590	2012	SEVILLA ESTATES PARK	A	100,000.00	D	TOWN OF MIAMI LAKES	The funds for this grant will be used to develop a new park(.71 acre) in the Town of Miami Lakes that will provide access to the waterfront, inclusive of a fishing area, allowing both community members and visitors various opportunities to enjoy a valuable natural resource. Other facilities to be deceloped are a playground, tennis/multi-purpose court, and picnic area.	SEVILLA ESTATE PARKS	MIAMI-DADE	25	0.7
