FY	ID No	Agency	Unit	CORE/CLP	States	Congress Dist	County	FY Budget Req	Enacted	Req Acres	Enacted Acres	Interest	Remaining Acres	Inholding (Y/N)	Description	O&M Startup	O&M Annual	Notes
2013	4	NPS	Petrified Forest National Park	Core	AZ	AZ-1	Apache and Navajo Counties	 5,000,000 	 5,000,000 	 26,495.00 	 26,495.00 	Fee	 21,670.00 	Y	"Description: The Act of December 3, 2004 (Public Law 108-430), revised the boundary of the park to include an additional 125,000 acres of land, of which approximately 76,473 acres were privately owned. The act authorized the Secretary of the Interior to acquire such privately owned land from a willing seller, by donation, purchase with donated or appropriated funds, or exchange. The Service’s FY 2012 budget request for the acquisition of such lands was not appropriated. 

Natural/Cultural Resources Associated with Proposal: Petrified Forest National Park contains globally significant fossil from the Late Triassic Period. The park is a virtual laboratory offering opportunities for paleontological research and visitor understanding that are unparalleled. The conservation and protection of the fossil resources, especially petrified wood (critical park resource) is the reason for the original establishment of the park, while the protection of vast cultural resources (the secondary unit resource) is a major focus and the intent of later expansion legislation.

Threat: Direct threats to natural and cultural resources in the proposed expansion area include theft and vandalism of fragile and non-renewable archaeological and paleontological sites and resources. Although these occurrences are all within the parks congressionally approved administrative boundary, the park currently has no jurisdiction over these lands and therefore non-renewable paleontological and archaeological resources are unattended and subject to ongoing theft and vandalism.

Need: The requested funds will be used to acquire six tracts totaling 26,495 acres and comprising the Paulsell Ranch that is presently owned by the Hatch Family Limited Partnership. The ranch was added to the park in 2004 by P.L. 108-430 and is rich in archaeological and paleontological resources. The ranch contains several areas (e.g. Billings Gap) with globally significant paleontological resources that compliment those in the park and numerous historic cultural sites including rock art panels, as well as structures from the Puebloan period in the Southwest. This property also includes nine miles of the Puerco River Riparian area that provides crucial habitat for many of the species found in this area from insects and rodents to raptors and migrating elk. Federal acquisition of this property would result in greater, proactive resource protection and preservation of this significant landscape. Protective measures include vehicle, horse, and foot patrols by Law Enforcement Rangers, remote monitoring through the use of surveillance equipment, as well as site inventory and monitoring by resource management staff.
"	 315,000 	 N/A 	"An estimated $315,000 would be needed to manage and maintain this land
and provide, via an agreement with the State, management of State lands currently checker boarded with
NPS land."
2013	2	BLM	Carrizo Plain National Monument	Core	CA	CA-22	Kern and San Luis Obispo Counties	 1,200,000 	 408,000 	 1,200.00 	 408.00 	Fee	 22,800.00 	Y	"Purpose: Acquire private inholdings within the Carrizo Plain National Monument to consolidate ownership and protect outstanding biological and cultural values.

Project Description: The 250,000-acre Carrizo Plain National Monument, a majestic grassland preserve ringed by scenic mountain ridges, contains the last remaining undeveloped remnant of the San Joaquin Valley ecosystem.  It provides critical contiguous habitat for one of the largest assemblages of threatened and endangered species surviving on any public lands in the United States, including the blunt-nosed leopard lizard, San Joaquin kit fox, giant kangaroo rat, Kern primrose sphinx moth, longhorn fairy shrimp, vernal pool fairy shrimp, California jewelflower, San Joaquin wooly threads, and the San Joaquin antelope squirrel.  Within the vast expanse of the Carrizo Plain lies Painted Rock, an important ceremonial site of the Chumash people that rises majestically from the surrounding grassland.  In addition, the Monument contains other world-class archaeological sites, which are part of a current nomination as a National Historic Landmark.  Soda Lake, a glistening bed of white salt in the dry summer, and the largest alkali wetland remaining in Southern California, provides important habitat for migratory birds during the winter. Those interested in geology can view one of the most spectacular sections of the 800-mile long San Andreas Fault, with its complex corrugated topography, along the eastern edge of the Plain. 

The Monument’s diversity and proximity to over 20 million people living in Southern and Central California attracts over 75,000 visitors annually who come to enjoy a variety of recreational activities.  Those stopping at the Goodwin Education Center or taking guided tours to Painted Rock or the San Andreas Fault can share in the rich history of the Carrizo Plain and learn about its unique plant and animal life.

The adjoining First Solar parcels are within the northern quadrant of the Monument and are nearly surrounded by BLM-managed public land.
"	 5,000 	 1,000 	
2013	5	BLM	California Wilderness	Core	CA	CA-1, CA-22, CA-25, CA-41, CA-51,	"Imperial, Kern, Lake, Mendocino, Napa,
San Bernardino and Tulare Counties"	 3,068,000 	 500,000 	 3,800.00 	 620.00 	Fee	 326,472.00 	Y	"Purpose: Consolidate public ownership within designated wilderness to preserve wilderness character, and increase opportunities for the public to experience primitive recreation.
 
Project Description: There are 88 designated Wilderness areas encompassing over 3.9 million acres of public land in California.  The first 69 Wilderness areas were designated in southern California with the passage of the California Desert Protection Act of 1994. Subsequently the Otay Mountain Wilderness Act, Big Sur Wilderness and Conservation Act of 2002, Northern California Coastal Wild Heritage Act of 2006, and most recently the Omnibus Public Lands Management Act of 2009 designated 19 additional Wilderness areas on BLM lands in California.  These Wilderness areas stretch from the north coast of California to the peaks of the Sierra Nevada to lands along the Mexican border. 

Over 37 million people are now living in California.  These Wilderness areas offer places of solitude where people can experience freedom from our fast-paced industrialized society.  They are places where people can renew the human spirit through association with the natural world and offer a respite from the pressure of an ever increasing urban lifestyle.  These areas provide important habitat to a wide variety of animal and plant species, many threatened and endangered, and some Federally-listed species.  

Six Wilderness areas are transected by the 2,638-mile Pacific Crest National Scenic Trail and seven Wilderness areas are located adjacent to the Juan Bautista de Anza and Old Spanish National Historic Trails.  Sixteen parcels are currently available for acquisition within nine Wilderness units.

 
 
"	 10,000 	 35,000 	
2013	5	NPS	Santa Monica Mountains National Recreation Area	Core	CA	CA-23-24, CA-27-31	Los Angeles and Ventura Counties	 2,441,000 	 1,977,000 	 238.00 	 193.00 	Fee	 18,804.00 	Y	"Description:  The national recreation area was authorized November 10, 1978, to protect and enhance the scenic, natural, and historic values of the area, and to preserve its public health value as an airshed for southern California metropolitan areas while providing recreational and educational opportunities. To date, funds in the amount of $163,716,118 have been appropriated for land acquisition at the area. The State of California and other conservation groups have also spent over $269.5 million for land acquisition within the park boundaries. After fiscal year 2012, approximately 19,042 acres of privately owned land will remain to be acquired.

Natural/Cultural Resources Associated with Proposal:  The national recreation area contains excellent examples of Mediterranean-type ecosystems not well represented in other areas of the National Park System. There are outstanding landforms and habitats, and rare biological and geological resources.  The area provides natural habitat necessary to the survival of species such as the mountain lion. There are abundant fossil deposits and outstanding scenery. Cultural resources include remnants of the Gabrielino and Chumash cultures.

Threat:  Residential and commercial developments threaten the resources of the area and reduce recreational opportunities.

Need:  The requested funds will be use to acquire six tracts totaling 237.88 acres of land located within the national recreation area and threatened by imminent development. Some property owners have secured building permits and local and state approvals to begin immediately developing residential estates. The tracts are surrounded by Federal land in Zuma and Trancas Canyons which comprise pristine coastal watersheds. In some cases, the property owners are landlocked and have no means of accessing their properties, resulting in hardships and reduced property values. In other cases, the property owners have undeveloped access rights-of-way through pristine parkland and have secured permits to improve those rights-of-way and develop the parcels. The Trust for Public Land (TPL) has an option pending on NPS Tract 121-53.  TPL and National Park Trust are examining other tracts within the package for possible acquisition."	 10,000 	 -   	"Current,
on-going legal costs dealing with private landowners and development possibilities should be reduced over
the following couple of years, unless other legal issues arise."
2013	6	BLM	California Coastal National Monument	Core	CA	CA-1	Humboldt and Mendocino Counties	 4,500,000 	 4,500,000 	 407.00 	 407.00 	Fee	 20.00 	N	"Purpose: Establish multiple contact areas to provide for public education and interpretation of the multiple resource and recreational values associated with the Monument.

Project Description: Located along the entire 1,100-mile California coastline, the California Coastal National Monument comprises more than 20,000 small islands, rocks, exposed reefs, and pinnacles between Mexico and Oregon, covering approximately 1,000 acres of land.  The creation of the Monument ensures the protection of these features extending from mean high tide to within 12 nautical miles of the shoreline.

In an effort to meet the challenge of interpreting a predominately offshore Monument, the BLM seeks to establish a number of publically-accessible sites along the California coast where the resource and recreational values of the Monument can be better offered for public interpretation.  Many of these contact areas have been developed within areas currently managed by BLM, however the length of the California coast and population demographics indicate the need for additional sites dedicated to better interpret the Monument to the public.  In 2004 the BLM accepted donation of the neighboring 1,132-acre Stornetta parcel from The Nature Conservancy.  Now known as the Stornetta Area of Critical Environmental Concern (ACEC) the property includes 2.5 miles of coastline, abuts the historic Point Arena Lighthouse and shares a common boundary with 760-acre Manchester Beach State Park.

Acquisition of the Cypress Abbey parcel would link the Stornetta ACEC with the community of Point Arena, place two additional miles of coastline into public ownership and further completion of the California Coastal Trail.  The property contains critical habitat for two endangered species, the Behrens’ Silverspot Butterfly and the Point Arena subspecies of Mountain Beaver.  Both species are only found on this stretch of the California coast.  The Trust for Public Land has negotiated a leverage to fully cover the $8M cost of this property.

"	 15,000 	 15,000 	 Edgeholding. Acquisition links Stornetta ACEC with the community of Point Arena.
2013	8	FWS	San Joaquin River National Wildlife Refuge	Core	CA	CA-18	San Joaquin, Stanislaus	 1,000,000 	 1,000,000 	 167.00 	 167.00 	Easement	 2,780.00 	Y	"Purpose of Acquisition: To protect native grasslands and wetlands that are essential for long-term survival of the Aleutian Canada goose, and to protect a large piece of riparian habitat valuable to a variety of wildlife species.
Project Cooperators: State of California CALFED Bay Delta Grant Program.
Project Description: Funds would be used to acquire a perpetual conservation easement on
approximately 167 acres of predominantly native, irrigated pasture. The biggest threat to the Refuge is residential development and conversion from grasslands and wetlands habitat to croplands, orchards, or dairy operations that will provide little or no benefit to wildlife. Acquisition would support long-term viability to the grassland and wetland ecosystems as well as provide a safe haven for migratory birds and other wildlife species."	 -   	 -   	
2013	11	FWS	Grasslands WMA	Core	CA	CA-18	Merced	 1,000,000 	 1,000,000 	 247.00 	 247.00 	Easement	 39,637.00 	Y	"Purpose of Acquisition: To protect important wintering area for the Pacific Flyway waterfowl
populations.
Project Cooperators: State of California.
Project Description: Funds would be used to acquire a perpetual conservation easement on one 247-acre tract. This property is predominantly low lying, irrigated pasture and will be protected by means of a perpetual conservation easement. The biggest threat is residential development and the conversion of grasslands, wetlands, and riparian habitat to croplands, orchards, or dairy operations that will provide little or no benefit to wildlife. The acquisition of this property will provide long-term viability to the grassland ecosystem as well as provide a safe haven for migratory birds and other wildlife species."	 -   	 -   	
2013	3	BLM	Dominguez-Escalante National Conservation Area	Core	CO	CO-3	Delta, Mesa and Montrose Counties	 575,000 	 280,000 	 304.00 	 160.00 	Fee	 7,696.00 	Y	"Purpose: Acquisition of critical inholdings to preserve habitat for threatened and endangered plants and fish, protect cultural, riparian and scenic values, and enhance recreational opportunities. 

Project Description: The 210,000-acre Dominguez-Escalante National Conservation Area (NCA), including the 66,000-acre Dominguez Canyon Wilderness, was established to protect unique geological, cultural, paleontological, wilderness, recreation, wildlife, riparian, and scenic values.  Spectacular red rock canyons and cliffs covered in pinion juniper forests hold geological and paleontological resources spanning 600 million years, as well as many cultural and historic sites.  This vast area, dominated by the Uncompahgre Plateau’s Escalante, Cottonwood, Big Dominguez and Little Dominguez Creeks drain into the 30 miles of the Gunnison River that flow through the NCA.  The Gunnison River is designated critical habitat for two threatened fish species.  Threatened plant species, and rare and diverse wildlife call the area home, including desert bighorn sheep, mule deer, golden eagle, mountain lion, black bear, and elk.  

The Massey parcel includes two miles of an alluvial bench along the Gunnison River.  This section of the Gunnison River is listed as critical habitat for two federally endangered fish species.  The parcel contains visible remnants of the Denver & Rio Grande Western railroad, a site of historical significance, as well as other riparian and scenic resource values.

The American Mountain Men parcel lies within Gibber Gulch, a magnificent, red-rock canyon.  The convergence of four major habitat types on the parcel, as well as the presence of naturally-occurring seeps and woodland riparian corridors, provides excellent wildlife habitat and potential habitat for rare plant communities.  Heritage resources on the property provide excellent opportunities for tourism, camping and self-guided interpretation.
"	 5,000 	 5,000 	
2013	7	FWS	Silvio O. Conte National Fish and Wildlife Refuge  	Core	CT; NH; MA; VT	"CT-1, CT-2, CT-3, MA-1, MA-2, NH-2, VT at-large

"	Multiple counties within the Connecticut River Watershed located in CT, MA, NH, and VT	 1,500,000 	 1,500,000 	 1,041.00 	 1,041.00 	Fee	 41,872.00 	Y	"Purpose of Acquisition: To protect fisheries and wildlife resources and provide public access to refuge
lands.
Project Cooperators: The Trust for Public Land, The Nature Conservancy, The Conservation Fund, and
the Kestrel Land Trust.
Project Description: Funds would be used to acquire fee title to approximately 1,041 acres from eight
owners. Acquisition of tracts within the Refuge’s Fort River Division would contribute toward the
protection of a large grassland project for the upland sandpiper and other grassland species. The Fort
River is the longest unobstructed tributary to the Connecticut River in Massachusetts, providing habitat
for the endangered dwarf wedge mussel and anadromous fish. In addition, acquisition of northern boreal
forest tracts in the Nulhegan Basin Division, and acquisition of wetland tracts in the Pondicherry
Division, would protect nesting songbirds and provide wildlife-dependent recreational and educational
opportunities."	 -   	 -   	
2013	18	FWS	Highlands Conservation	CT, NJ, NY, PA	CT; NJ; NY; PA	Multiple	Multiple	 -   	 123,000 	 N/A 	 N/A 	N/A	 N/A 	N/A	"The Highlands Conservation Act (HCA) authorizes the Secretary of the Interior to work in partnership with the Secretary of Agriculture to provide financial assistance to the Highland States (Connecticut, New
Jersey, New York, and Pennsylvania) for preservation and protection of high priority conservation land in the Highlands region. The purpose of the HCA is to: recognize the importance of the water, forest,
agricultural, wildlife, recreational, and cultural resources, and the national significance of the Highlands
region to the United States; to authorize the Secretary of the Interior to work in partnership with the
Secretary of Agriculture to provide funding for financial assistance to the Highland States to preserve and
protect high priority conservation land in the Highlands region; and to continue ongoing Forest Service
programs in the region. The Federal grant share of the cost of carrying out a land conservation partnership
project shall not exceed 50 percent of the total cost of the land conservation partnership project. The
Service works with the Highland States and other Federal agencies to determine how best to implement the
HCA.
Funding for Highlands projects will enable acquisition of parcels within the projects that have met the
criteria of the Highlands Act. These funds would complement state funds at a greater than 1:1 match, as
required by the Act. Although specific parcels and acreages are not available to date for FY 2012, funds
would be disbursed based on individual state interest in partnering for Highlands projects. Connecticut
anticipates purchasing lands within the 61,699 acre Shepaug River Headwaters Focus Area. The State of
New York plans to fund parcels within a 2,766 acre area of the East Hudson Highlands. New Jersey would
work in a 987 acre portion of the Twin Watershed project area and Pennsylvania is planning to acquire
parcels within a 375 acre section of South Mountain. All projects would meet funding match criteria."	 N/A 	 N/A 	No Project Data Sheet. Budget request spreadsheet indicates this was project that had $0 in the request.
2013	3	FWS	Everglades Headwaters	Core	FL	FL-12, FL-15, FL-16	Polk, Osceola, Okeechobee, and Highlands Counties	 3,000,000 	 3,000,000 	 750.00 	 750.00 	Fee	 149,250.00 	Y	"Purpose: of Acquisition:  To protect, restore, and conserve habitat for 278 federal and state listed species, including Florida panther, Florida black bear, Audubon’s crested caracara, Florida scrub jay, Florida grasshopper sparrow, red-cockaded woodpecker, whooping crane, and Everglades snail kite.  Acquisitions would protect, restore, and conserve the headwaters, groundwater recharge and watershed of the Kissimmee Chain of Lakes, Kissimmee River, and Lake Okeechobee region, and would also directly improve water quantity and quality in the Everglades Watershed, complementing the Comprehensive Everglades Restoration Plan goals, and protecting the water supply for millions of people. 

Project Description:  The proposed EHNWR has two components: a 50,000-acre fee title Acquisition Area and a 100,000-acre, easement-only Acquisition Area or Management District.  Funds would be used to acquire fee title on 750 acres.  This is an opportunity for the Service to protect a large landscape of diverse and high-quality habitats, and to conserve and restore large numbers of threatened and endangered species.  The America’s Great Outdoors (AGO) program is one of the Secretary of the Interior’s three national priorities, designed to create and conserve large functional landscapes for wildlife protection and ecosystem services protection, historic and cultural protection; and to provide the American public with outstanding wildlife-dependent recreational opportunities. "	 3,500,000 	 -   	"O&M: Initial costs would include salary, start-up, and support funding for three permanent staff,
vehicles, office rental, and miscellaneous supplies estimated at $500,000. An office and visitor center
would be added at a one-time cost of $3,000,000."
2013	14	FWS	St. Vincent National Wildlife Refuge	Core	FL	FL-2	Franklin	 1,000,000 	 1,000,000 	 5.00 	 5.00 	Fee	 927.00 	Y	"Purpose: of Acquisition:  To restore and manage sensitive habitats along St. Vincent Sound for migratory birds, neotropical migratory songbirds, wintering waterfowl, arctic peregrine falcon, and bald eagle, among others.

Project Cooperator: The Trust for Public Land

Project Description:  Funds would acquire fee title to approximately five acres of the only suitable deep-water mooring site in the vicinity, a property owned by The Trust for Public Land.  Acquisition of the site is necessary for access and management of the St. Vincent Island Unit.  Acquisition of this tract would allow restoration and management of sensitive habitats along St. Vincent Sound for migratory birds, neotropical migratory songbirds, wintering waterfowl, arctic peregrine falcon, and bald eagle, among others.  It would also improve habitat conditions for the Florida black bear by protecting occupied bear habitat and connecting existing conservation lands to ensure protection of travel corridors."	 20,000 	 -   	"O&M: The Service estimates initial costs of $20,000 for boundary marking which the Service would
fund from Refuge System base funding. There may be an initial dredging/rehabilitation cost which the
Service would also fund from Refuge System base funding."
2013	15	FWS	Longleaf Pine Okefenokee National Wildlife Refuge	CLP	GA	FL-4, GA-1	Charlton, Ware, and Clinch counties, Georgia; Baker County, Florida	 13,635,850 	 3,000,000 	 16,863.00 	 3,708.00 	Fee	 37,970.00 	Y	"Purpose: of Acquisition:  To conserve and protect virgin bottomland hardwood migratory bird habitat and to prevent detrimental impacts caused by development on wetland habitat.

Project Description:  Funds would be used to acquire fee title to 9,886 acres from The Conservation Fund.  Funds would also be used to acquire timber, recreational, and hunting rights currently held by a timber company on 6,977 acres of Service land, providing the Service with full management rights on these lands.  Acquisition would support longleaf pine ecosystem conservation and restoration.  Acquisition would also help to preserve a tapestry of federal, state, and private forest lands that provide more than a million acres of unfragmented habitat for a variety of federally-listed endangered and threatened species, including red-cockaded woodpecker, wood stork, flatwoods salamander, Eastern indigo snake, and whooping crane.  Finally, acquisition would significantly contribute to a multi-partner effort by the Greater Okefenokee Association of Landowners to establish a one-mile, wildfire-resilient wildlife conservation zone around the Refuge."	 N/A 	 100,000 	
2013	9	FWS	Upper Mississippi River NW&FR	Core	IA; IL; MN; WI	"MN-1, IA-1 , IA-4, IL-16, IL-17, WI-3
"	Multiple	 1,000,000 	 1,000,000 	 335.00 	 335.00 	Fee	 21,137.00 	Y	"Purpose: of Acquisition:  To protect, restore, and manage grassland and wetland habitat for migratory birds, including waterfowl, resident wildlife, federal and state threatened and endangered species, and public recreation.

Project Cooperators: U.S. Army Corps of Engineers, Ducks Unlimited, The Nature Conservancy, the
Minnesota DNR, Wisconsin DNR, Iowa DNR, Illinois DNR, and Friends of the Upper Mississippi
Refuge.

Project Description:  Funds would be used to acquire fee title to approximately 335 acres, in three parcels.  Two contiguous parcels are located in northern Allamakee County, Iowa, and lie within the flood plain of the Upper Iowa River.  The third parcel is located in eastern Houston County, Minnesota, and is in the Mississippi River 100-year floodplain.  All parcels are located within the acquisition boundary of the Upper Mississippi River NW & FR.  These acquisitions would preserve critical feeding and resting habitat for waterfowl and other birds in the Mississippi Flyway.  They would protect the extensive wetland complexes that function as flood control and nutrient recycling."	 10,000 	 -   	"O&M: The Service estimates an initial cost of $10,000 for restoration and enhancement work (spraying,
mowing, burning, and fencing supplies and signage), which the Service would fund from Refuge base
funding."
2013	10	FWS	Northern Tallgrass Prairie National Wildlife Refuge	Core	IA; MN	"MN-1, MN-2, MN-7, IA-2, IA-3, IA-4, IA-5
"	Multiple	 500,000 	 500,000 	 166.00 	 166.00 	Fee/Easement	 72,411.00 	Y	"Purpose: of Acquisition:  To protect, restore, and enhance the remaining northern tallgrass prairie habitats and associated wildlife species.

Project Cooperators: Minnesota Department of Natural Resources (DNR), Iowa Department of Natural
Resources, Ducks Unlimited, Pheasants Forever, The Nature Conservancy, Minnesota Waterfowl
Association, several county conservation boards, and several local Chambers of Commerce.

Project Description:   Funds would be used to acquire 166 acres throughout western Minnesota and northwestern Iowa.  The project will include prairie preservation and restoration, which will not only protect the prairie ecosystem, but also benefit grassland birds such as dickcissel, bobolink, grasshopper sparrow, and sedge wren.  This project has strong support from the Iowa congressional delegation.

Rather than acquiring a contiguous boundary with the aim of eventual ownership of all lands, the Service has set a goal of acquiring 77,000 acres, spreading land acquisition across all or portions of 85 counties.  The Service will acquire fee and easement lands to reach this goal.  The Service will work with private landowners to develop stewardship agreements, and provide incentives and management assistance in the interest of preserving the prairie landscape regardless of ownership"	 -   	 30,000 	"O&M: Annual operation and maintenance costs are expected to be approximately $30,000 for initial
restoration and enhancement work (spraying, mowing, burning, and signage)."
2013	12	FWS	Red Rock Lakes National Wildlife Refuge	Core	ID; MT	MT-AL	Beaverhead	 -   	 2,822,000 	 Recast Ops Plan 	 1,979.94 	Fee & easement	 172,605.87 	Y	"Purpose of Acquisition: To provide for long-term viability of fish and wildlife habitat on a large
landscape basis in the Greater Yellowstone Ecosystem. In addition, the project would protect, restore and
enhance native wet meadows, wetlands, uplands and mountain foothills for migratory birds, including
waterfowl, and other wildlife. Additional lands would be available for wildlife-dependent public uses
(hunting, fishing, wildlife observation and photography, and environmental education and interpretation)
for present and future generations of Americans. Protection of this landscape would also preserve the key
wilderness values of the refuge and surrounding view shed of the Centennial Valley.
Project Cooperators: The Nature Conservancy, Montana Fish, Wildlife and Parks, Beaverhead County
Commissioners, Bureau of Land Management, and Greater Yellowstone Coordinating Council.
Project Description: The Service would use the requested funds to purchase 670 acres that would be for
the initial phase of a multi-year acquisition effort to acquire one of the most important tracts remaining
within Red Rock Lakes NWR. The Elizabeth Grazing Association tract includes nearly 1 mile on both
sides of Red Rock Creek that supplies most of the water for the Red Rock Lakes NWR wetland complex.
Acquisition of this property would enable the Service to restore this portion of Red Rock Creek (from
overgrazing) and improve water quality in Upper Red Rock Lake on the refuge. The Centennial Valley,
like much of western Montana, is threatened by subdivision and demand for second home development
that is creeping west from Yellowstone Park and the Henry’s Lake portion of northern Idaho (this tract
could easily be developed into recreational home sites). The subject property includes a large riparian
wetland complex that provides habitat for 21 species of waterfowl and 35 species of other wetland dependent
birds. Acquisition of this tract would expand opportunities for wildlife-dependent forms of
public recreation on the east end of the refuge."	 10,000 	 10,000 	"O & M: The Service would spend a minimal amount for easement monitoring and inspections, fencing, and boundary posting, estimated
at less than $10,000 per year, which the Service would fund out of Refuge System base funding."
2013	4	FWS	Flint Hills Legacy Conservation Area	Core	KS	KS-1, KS-2, KS-4	Butler, Chase, Chautauqua, Clay, Cowley, Dickinson, Elk, Geary, Greenwood, Harvey, Jackson, Lyon, Marion, Marshall, Morris, Pottawatomie, Riley, Shawnee, Washington, Woodson, and Waubansee	 1,951,000 	 1,000,000 	 6,503.00 	 3,333.00 	Easement	 1,083,328.00 	Y	"Purpose of Acquisition: To protect the Flint Hills tallgrass prairie ecosystem and associated grassland dependent
wildlife species.
Project Cooperators: The Nature Conservancy, the Kansas Land Trust, The Ranchland Trust of Kansas,
the Tallgrass Legacy Alliance, and the local community.
Project Description: Funds would be used to acquire perpetual conservation easements on
approximately 6,503 acres of tallgrass prairie. Tallgrass prairie is one of the most endangered ecosystems
in the United States, with less than four percent of the original acreage remaining. This project makes
exclusive use of conservation easements to protect 1,100,000 acres of the remaining tallgrass prairie in
the Flint Hills ecoregion in eastern Kansas from the threat of fragmentation. This fragmentation occurs as
the result of residential, commercial, and industrial development, as well as encroachment of woody
vegetation. Acquisition of perpetual conservation easements from willing sellers provides permanent
protection for tallgrass prairie ecosystems and fosters landscape level conservation, while helping to
maintain traditional ranching operations. Landowner interest is high, and the Service is currently
identifying lands for acquisition that contain high quality tallgrass habitat with minimal fragmentation and
woody vegetation encroachment. In addition to preserving some of the last remaining tallgrass prairie,
conservation easements would protect habitat that is important for the threatened Topeka shiner, as well
as a wide variety of grassland-dependent birds and other species."	 -   	 1,000 	"O&M: Within the base funding for the Refuge System, the Service would use approximately $1,000 for
annual maintenance of the new acquisitions, mainly for easement enforcement."
2013	6	NPS	Glacier National Park	CLP	MT	MT-AL	Flathead and Glacier Counties	 3,323,000 	 1,200,000 	 318.00 	 114.00 	Fee	 97.00 	Y	"Description: The Act of May 11, 1910, established Glacier National Park and today contains approximately
1,000,000 acres. A total of 415 acres remain privately owned at the park. Four collaborating agencies
(NPS, FWS, BLM, and FS) are working to take advantage of opportunities to build resiliency in ecological
systems and communities. Building ecological resiliency includes maintaining intact, interconnected
landscapes, and restoring fragmented or degraded (but restorable) habitats. They have been working
with NGO partners (including The Nature Conservancy, The Conservation Fund, Trust for Public Land,
local land trusts), local community groups such as the Blackfoot Challenge & Rocky Mountain Front
Landowner Advisory Group and state & county government officials, to tailor the federal acquisition
program in a way to achieve synergy between private rights, open space, traditional land uses and
conservation. This shared vision includes maintaining working ranches and forests by acquiring
conservation easements as well as acquiring lands in fee that will provide public access and enjoyment.
Natural/Cultural Resources Associated with Proposal: Executing the planned acquisitions in all four
agencies can contribute to species conservation, such as, grizzly bears, wolverine, lynx, goshawk, willow
flycatcher, sage grouse, sharp-tailed grouse, burrowing owl, Lewis' woodpecker, trumpeter swan, yellowbilled
cuckoo, cutthroat trout, arctic grayling, and Columbia spotted frog. The federal projects complement
the conservation goals of Montana Comprehensive Fish and Wildlife Conservation Strategy (State
Wildlife Action Plan) as well as other conservation plans including the Montana Partners in Flight,
threatened and endangered species recovery plans (bull trout, grizzly bears, lynx, gray wolf), Forest
Management Plans and agency general management and Departmental level strategic plans (i.e., Great
Northern Landscape Conservation Cooperative, etc.).
Funds are requested for eight tracts. They include the Harrison Creek Tract, a prime example of upland,
riparian and floodplain wildlife habitat; Cracker Lake tracts, in a glacial basin that is the third largest private
holding in the park and the only mining patents in the park; Big Prairie tracts, along the North Fork of the
Flathead in the major migration corridor for grizzly bear, wolf and ungulates; and the Cummings Meadow
tract, which is home to many T&E species and an intact riparian ecosystem, as well as the site of one of the
areas homesteads from the early 1900s.
Threat: If these tracts remain in private ownership, cabins and year-round housing may be developed,
floodplain manipulation or stream bank stabilization measures may be employed to decrease the impact
of natural flooding, migration corridors will be cut and displaced and ecosystems will be degraded. These
activities would jeopardize the natural resources, wilderness, and recreational values of the area.
Resource extraction, including logging or mining, is also likely on some of the properties. Large waterfront
parcels of private property are highly desirable and lack or difficulty of access has proven not to be a
deterrent to purchase and development. Parcels in areas within easy reach of existing infrastructure are
prime for development allowing further displacement of species, and riparian areas are desirable for
human use and development.
National Park Service FY 2013 Budget Justifications
LASA-16
Need: The funds are needed to acquire eight parcels, totaling 318 acres located in the park along the
North Fork and Middle Fork of the Flathead River about one mile upstream from the confluence with
Harrison Creek and in the Cummings Meadow area. These tracts have very high resource value as
upland, riparian, and floodplain landscapes and habitat. Some of the tracts are surrounded by the park’s
recommended wilderness area and are candidates for eventual addition to the wilderness system.
Development of the land would jeopardize wilderness resource values as well as the backcountry
character of the surrounding land."	 -   	 -   	
2013	7	BLM	Blackfoot River Special Recreation Management Area/Lewis And Clark National Historic Trail	CLP	MT	MT-1	Missoula and Powell Counties	 5,572,000 	 5,572,000 	 4,620.00 	 4,620.00 	Fee	 -   	Y	"Purpose: Protect exceptional biological diversity, wildlife habitat and rural landscapes from the impacts of residential subdivision. Preservation of the Lewis and Clark National Historic Trail (NHT) corridor.
 
Project Description: The Blackfoot River watershed is celebrated nationally and treasured locally for its outstanding values – legendary fishing and floating, threatened and endangered species and big game habitat, unspoiled natural beauty and a rural lifestyle symbolic of values vanishing in the West.  The Blackfoot River watershed occupies a critical location in the Northern Continental Divide Ecosystem, serving as the southern “bookend” for the Yellowstone to Yukon (Y2Y) Conservation Initiative.  The watershed serves as a buffer and linkage zone for wildlife moving in and out of the Bob Marshall/ Scapegoat Wilderness Complex, along the Continental Divide and between the Clark Fork River drainage and the Garnet Range.

The Blackfoot system possesses exceptional wetlands, riparian, grasslands, and forestland vegetation associations.  These ecosystems possess exceptional biodiversity and high scenic value.  An active partnership with the Montana Department of Fish, Wildlife and Parks is working to restore Bull trout (T&E listed species) habitat.  Traversing the breadth of Montana, the Lewis and Clark NHT Trail crosses lands with some of the richest resources and diversity in the region.  In July 1806 Captain Meriwether Lewis and nine members of the Corps of Discovery followed this course of the Blackfoot River on the return leg of their expedition. 

The proposed acquisition, supported by the Montana Department of Fish, Wildlife and Parks is a component of The Nature Conservancy’s broader Montana Legacy Project and is the final TNC-BLM acquisition in the project area. 
 
 
"	 5,000 	 1,000 	
